Standards,Body,Publication Date,Contents,No Stopwords,TFIDF Keywords,Contextual Keywords,Combined Keywords
Climate Disclosure Framework For Small And Medium-sized Enterprises (smes),CDP,2021-Nov,"7 GUIDING PRINCIPLES Purpose of principles The seven principles below underpin this framework’s disclosure recommendations/requirements and are designed to ensure that the data generated is of high quality and decision-useful for SME stakeholders, including financial institutions. Additionally, disclosures aligned with these principles will incentivize climate action among SMEs and improve understanding of their environmental impact. These draw from the principles of the following key frameworks and standards: TCFD, CDSB and the GHG Protocol. 01 Disclosures shall be relevant to SMEs and their data users. 02 Disclosures shall be clear and understandable 03 Disclosures shall be objective and accurate. 04 Disclosures shall be complete and verifiable. 05 Disclosures shall be comparable to best practice corporate disclosures. 06 Disclosures shall drive impactful SME climate action. 07 Disclosures shall be annual and provided in a consistent format. 8 This section consists of the key areas of disclosure for SMEs. It is recommended that: SMEs report against metrics and indicators in the core component. Data users/stakeholders communicate to SMEs which modules they would like to see prioritized depending on the needs of the data user and factors unique to the SME, such as business type. SMEs look to expand their reporting to cover the four additional modules within three years MODULES: REPORTING REQUIREMENTS AND RECOMMENDATIONS CORE MODULES Each module recommends (“should”) or requires (“shall”) certain indicators and metrics from SMEs that are considered to be important, factoring in the requirements of data users and needs of the SMEs. • Throughout the modules the term ""shall"" is used to indicate a requirement. Indicators denoted using ""shall"" are considered to be crucial reporting for SMEs regardless of the disclosers’ reporting experience. • Throughout the modules the term ""should"" is used to indicate a recommendation. Indicators denoted using ""should"" are considered to be optional, especially for small SMEs or those in their first year of reporting; however, reporting on these indicators is strongly advocated within three years. How to use the Framework This framework lays out the key climate-related indicators that SMEs should report on, and SMEs should use it to inform their disclosures. Companies may report this information in their mainstream reports or when using other data collection or reporting platforms. This framework does not contain detailed guidance on how to report on the indicators, as there is a lot of guidance available that is suitable for SMEs to use. The SME Climate Hub has a dedicated “tools and resources” section that we encourage SMEs to utilize when reporting on the indicators in this framework. We highly recommend reading each module’s “Guidance and definitions” section to understand the indicators laid out in the framework better. MODULE: ENERGY REPORTING MODULE: VALUE CHAIN EMISSIONS MODULE: MANAGEMENT & RESILIENCE MODULE: CLIMATE SOLUTIONS MEASURE COMMIT ACTION & IMPACT 9 Every company should measure its emissions and determine its impact on the climate as a starting point. Only then can the company begin to manage and reduce its negative environmental impact effectively. This module lays out the minimum level of disclosure required from SMEs regarding their emissions, aligned with existing standards and best practices such as the GHG Protocol, recognizing that emissions calculation can be challenging. There are several tools and resources available that can help SMEs get started with measuring their emissions; some of them are listed in the guidance section below. MEASURE Connections to other frameworks TCFD Metrics and targets recommended disclosure b) Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks SDG Goal 13: Climate action Measure What are your gross global operational emissions (Scope 1 and 2)? Companies shall provide: • Reporting year • Gross global emissions from combustion in owned or controlled boilers, furnaces, vehicles, etc. (Scope 1) • Gross global emissions from electricity purchases (and purchased heat, steam and cooling) in the reporting year (Scope 2) * • Calculation methodology Companies should provide a breakdown of their reported Scope 1 and Scope 2 figures. Companies shall ensure that there are mechanisms in place to confirm that the emissions data provided is sufficiently accurate and provide a comment on the accuracy. *For companies operating in areas where market instruments are available, both location-based and market-based Scope 2 figures should be provided. (See guidance below for more information) Are there any emissions that are in the reporting boundary but are excluded from the inventory? Companies shall disclose any relevant sources of emissions excluded and provide the magnitude of significance. Describe your emissions in the context of an appropriate business metric (Emissions intensity) Companies should disclose their gross global combined Scope 1 and 2 emissions for the reporting year, in metric tons CO2e, per unit of physical activity or economic output (preferably per unit of total revenue). 10 Guidance and definitions The GHG Protocol sets standards to measure and manage emissions. The website provides calculation tools as well as PDFs of the Corporate Standard and Scope 2 Guidance. Please refer to the website if you would like explanations or examples of the disclosure requirements above. You may also find some tools suitable specifically for SMEs in the “Tools and Resources” section of the SME Climate Hub. As specified in the table above, there are two methods of calculating Scope 2 emissions – location and market based. • The location-based method considers the average emission factors for the electricity grids that provide electricity to the reporting organization. • The market-based method reflects emissions from the electricity that the reporting organizations have chosen or purchased in the market. It considers contractual arrangements under which the reporting organization procures power from specific suppliers or sources, such as renewable energy. As summarized by the World Resource Institute, reporting both figures tells an important story about the company’s carbon footprint and carbon reduction strategy. The location- based method reveals what the company is physically putting into the air, and the market- based method shows emissions that the company is responsible for through its purchasing decisions. For more information on this please refer to the GHG Protocol Scope 2 Guidance. Reporting year: The most recent 12-month period for which data is provided. Gross global emissions: This means total emissions before any deductions or other adjustments are made to take account of things such as offset credits or avoided emissions from the use of goods and services. Emissions intensity: Emissions (metric tons CO2e) / Business metric (e.g., revenue). Intensity metrics describe an organization’s CO2e emissions in the context of another business metric. In this way, the emissions are normalized to account for growth. Emissions intensity per unit of revenue is one the most common and easy means to calculate emissions intensity, which is why it is preferred that you provide this figure. However, this is not necessarily always the most appropriate to individual businesses and therefore you can also report an intensity or normalized metric that is most appropriate to your organization’s own operations. 11 It is essential for every company to commit to reduce their environmental impact. Target setting provides direction and structure to environmental strategy. SMEs setting targets aligned with science demonstrate initiative to their stakeholders and financial institutions. The details of targets help data users understand how robust they are and whether they are consistent with a 1.5°C future. Some initiatives allow SMEs to select from a set of pre-defined targets aligned with science, making the target-setting process simpler for SMEs. Two key examples are the SBTi’s SME initiative and the SME Climate Hub’s Climate Commitment. Companies are encouraged to sign up to such initiatives to align with the UN Race to Zero Campaign and aim to include the metrics highlighted in this framework when they report on their targets. COMMIT Connections to other frameworks TCFD Metrics and targets recommended disclosure c) Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets SDG Goal 13: Climate action 9Foundations for Science-based Net-Zero Target Setting in the Corporate Sector, SBTi, 2020. Commit Provide details of your targets and progress made against them All companies with a climate-related target shall state: • Target type (e.g., absolute emissions reduction, emissions intensity, net-zero) • Year target was set • Target year • % Target achieved in reporting year • Whether the target is aligned with a recognized target- setting standard/initiative 12 Provide details of your targets and progress made against them For emissions reduction targets, companies shall also provide: • Scope(s) or Scope 3 categories covered • Base year • Covered base year emissions • Covered base year emissions as a % of total base year emissions in selected Scope(s) • % Targeted reduction from covered base year emissions • Whether the target is science-based and/or Race to Zero aligned For a net-zero target, companies shall also include: • A near-term emissions reduction target aligned with science • To what extent the net-zero target depends on neutralization (carbon removal) activities If the organization does not have any climate-related targets, they shall state whether they intend to set one in the next two years or if setting a target was judged to be unimportant, they shall explain why. Guidance and definitions Covered base year emissions: The base year emissions covered by your emissions reduction target. e.g., if your target relates to Scope 2 emissions of a particular business activity (e.g., office-based operations), the “covered base year emissions” would be the base year Scope 2 emissions relating to that business activity only. Net-zero target: in line with the SBTi Corporate Net-Zero Standard, corporate net-zero is defined as: 1. Reducing scope 1, 2, and 3 emissions to zero or to a residual level that is consistent with reaching net-zero emissions at the global or sector level in eligible 1.5°C-aligned pathways 2. Neutralizing any residual emissions at the net-zero target year and any GHG emissions released into the atmosphere thereafter. For further guidance on setting net-zero targets please refer to the SBTi Corporate Net-Zero Standard Neutralization of emissions: neutralization of a company’s residual GHG emissions (emissions that are unfeasible to reduce) with an equivalent amount of carbon removals. An effective neutralization strategy involves removing carbon from the atmosphere and storing it for a long-enough period to fully neutralize the impact of any GHG that continues to be released into the atmosphere (adapted from Foundations for Science-based Net-Zero Target Setting in the Corporate Sector)9. 13 Disclosure of emissions reduction initiatives demonstrates the steps the organization is taking to meet its climate-related targets and the impact those have on reducing the company’s emissions. This module asks companies to disclose details of their initiatives to reduce emissions in Scopes 1, 2 and 3. ACTION AND IMPACT Connections to other frameworks SDG Goal 13: Climate action Action and Impact Have you, or do you plan to, take action to reduce your GHG emissions? Companies shall state whether they have any implemented or planned action(s)/initiative(s) to reduce their operational (Scopes 1 and 2) and value chain (Scope 3) emissions, providing the following details: • Description of action/initiative type (e.g., operational efficiency, process efficiency, low carbon energy consumption, etc.) • Initiative start date For each action/initiative, companies should also disclose: • Estimated annual emissions savings as a result of action taken • Scope(s) or Scope 3 category where the emissions saving occurs Companies that do not have any emissions reduction initiatives shall explain why. How have your emissions changed over time? Organizations that have calculated their emissions in previous years should state how their emissions in the reporting year have changed compared to previous years, noting the reason(s) for change and explaining any deviation from set target(s). Guidance and definitions Initiative type: To see examples of initiative types please refer to Appendix. Initiative start date: The start date tells data users whether this initiative was implemented in the reporting year and if not, then when it is planned to be implemented. Estimated annual emissions savings: Where savings occur on a non-annual basis, average the savings so that the annual figure can be provided. 14 Energy-related activities represent, for many sectors, the most significant GHG emission sources. This module provides transparency on the consumption and generation of energy by organizations. Awareness of this information incentivizes companies to make informed energy efficiency measures to reduce their emissions and impact on climate change. ENERGY Connections to other frameworks SDG Goal 7: Affordable and clean energy Goal 13: Climate action Energy Report your total energy consumption Companies shall disclose their total energy consumption (purchased and/or self-generated).* Disclose your renewable energy purchase and generation Companies shall disclose whether they purchase and/or generate renewable energy and if so, the proportion of their total energy purchase or generation that this makes up. Companies should provide details of their renewable energy consumption (i.e., is it self-generated, green tariff etc.). * This should include all energy sources outlined in the scope 1 and 2 guidance of the GHG Protocol Guidance and definitions Renewable energy, as defined in the GHG Protocol is “Energy taken from sources that are inexhaustible, e.g., wind, water, solar, geothermal energy and biofuels.” Purchased energy refers to the energy (electricity, heat, steam and/or cooling) an organization receives from a third party, i.e., outside the organizational boundary. Specific information on these energy carriers (electricity, steam, heat and/or cooling) can be found in section 5.3.1 and Appendix A of the GHG Protocol Scope 2 Guidance. 15 Value chain emissions Disclose your gross global value chain emissions (Scope 3) Companies shall provide their gross global emissions for the Scope 3 categories that are relevant for their business sector/ activities. • Supply Chain related emissions (upstream): 1. Purchased goods and services 2. Capital goods 3. Fuel-and-energy-related activities (not included in operational emissions) 4. Upstream transportation and distribution 5. Waste generated in operations 6. Business travel 7. Employee commuting 8. Upstream leased assets • Customer related emissions (downstream): 9. Downstream transportation and distribution 10. Processing of sold products 11. Use of sold products 12. End of life treatment of sold products 13. Downstream leased assets 14. Franchises 15. Investments Most of a company’s emissions lie in its value chain. It is important for companies to go beyond their direct operations to measure and influence their emissions across their value chains – from the goods they purchase to the disposal of the products they sell. This module requires/recommends disclosure on value chain emissions to determine the impact of companies’ value chain on the environment. VALUE CHAIN EMISSIONS Connections to other frameworks TCFD Metrics and targets recommended disclosure b) Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks SDG Goal 13: Climate action 16 Guidance and definitions Value chain refers to the full lifecycle of a product or process, including material sourcing, production, consumption and disposal/recycling processes – as defined in a WBCSD report. Pages 7-10 of the Technical Guidance for Calculating Scope 3 Emissions contain helpful descriptions of the categories listed above. The GHG Protocol’s Scope 3 Evaluator is a free tool that SMEs can use to start measuring their Scope 3 emissions. There are also some tools suitable specifically for SMEs in the “Tools and Resources” section of the SME Climate Hub. For a company to successfully transition to low carbon, commitment and drive from its leadership is required. There is strong evidence that companies who integrate climate-related decisions and initiatives in the company-wide strategy are more likely to be able to take meaningful action and meet their climate- related targets. Banks and lenders are increasingly requesting information on a company’s climate risks. In addition to that, most SMEs do not have strong risk management processes, which makes them particularly vulnerable to global risks10. Building business resilience to climate change by identifying and managing risks has never been more important for SMEs. Robust risk assessment is key to climate resilience in the future. MANAGEMENT AND RESILIENCE Connections to other frameworks TCFD Strategy recommended disclosure a) Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term Risk management recommended disclosure a) Describe the organization’s processes for identifying and assessing climate-related risks Risk management recommended disclosure b) Describe the organization’s processes for managing climate-related risks SDG Goal 13: Climate action 10Small and Medium Enterprises and Global Risks: Evidence from Manufacturing SMEs in Turkey, International Journal of Disaster Risk Science, 2020. 17 Management and resilience Is there any member(s) of your organization responsible for overseeing climate change matters? Companies shall disclose if there is an individual(s) responsible for overseeing climate change action and their seniority within the organization. If the company has a board, they should disclose whether there is board-level oversight of climate change matters. Is your company aligned with a net- zero future? Companies shall state if their strategy and/or business model aligns with the latest and most ambitious science (i.e., halving emissions by 2030 and reaching net-zero by 2050 at the latest, thereby limiting global warming to 1.5 0C). Do you assess your climate risks? Companies should state if they identify, assess, and manage climate risks. Companies should consider providing the following details of their risk management process: • How frequently they carry out climate risk assessments • Value chain stages covered (e.g., direct operations, downstream, upstream) • Time horizon(s) covered • Risk types considered What are your major climate risks and how do you manage them? Companies should disclose: • The risk type they have identified, e.g., transition risks (such as emerging climate regulation) or physical risks (such as flooding) • The time horizon of the risk (e.g., short-term, long-term, or unknown) • The likelihood of the risk occurring • The impact of the risk materializing (how would this risk impact your business?) • How the risk is being (or is planned to be) managed 18 Guidance and definitions A strategy and/or business model aligned with a net-zero future (by 2050 latest) is one that aligns with the latest and most ambitious climate science recommendations. i.e., halving emissions by 2030 and reaching net-zero by 2050 at the latest, thereby limiting global warming to 1.50C. Climate-related risks can be divided into two main categories: risks related to the transition to a low-carbon economy (transition risks) and risks related to the physical impacts of climate change (physical risks). Risk types: Transition risks: Current and emerging regulation: policy developments that attempt to constrain actions that contribute to the adverse effects of climate change or policy developments that seek to promote adaptation to climate change; Technology: all risks associated with technological improvements or innovations that support the transition to a low-carbon, energy-efficient economic system; Legal: all climate-related litigation claims; Market: all shifts in supply and demand for certain commodities, products, and services; Reputation: all risks tied to changing customer or community perceptions of an organization’s contribution to or detraction from the transition to a low-carbon economy. Physical risks: Acute: risks that are event-driven, including increased severity of extreme weather events, such as cyclones, hurricanes, or floods; Chronic: longer-term shifts in climate patterns (e.g., sustained higher temperatures) that may cause sea level rise or chronic heat waves. Time horizons of climate-related risks: There is a common perception that all climate-related risks are “long-term”, arising in 10+ years; however, transitional risks such as policies, technology, and markets are emerging earlier than this, and physical risks including the frequency and intensity of storms, floods, and droughts are recognized risks today. Thus, it is important that companies consider short and medium term risks in their assessments as well. 19 Climate solutions Do you classify any of your existing goods and/or services as low carbon products or products that enable a third party to reduce GHG emissions in their value chain? If yes, companies shall disclose: • % of total revenue from low-carbon products • Product type or description/name of product(s) or service(s) • Methodology/taxonomy used to classify product(s)/ service(s) as low-carbon or as product(s)/service(s) that enable third parties to reduce emissions (e.g., EU Taxonomy, Low Carbon Investment Registry Taxonomy) Companies should also consider providing some additional information such as: • Product category: low carbon product (has a low carbon footprint or embedded emissions) or enables avoided emissions (reduces customer emissions) or both • For low carbon products: Embedded emissions of low carbon products • For products that enable third parties to avoid emissions: Estimated avoided emissions compared to the reference product SMEs are a force for innovation globally and play a significant role in bringing new low carbon or emissions-reducing products and services to market. Disclosure on these products/services and their impacts would allow SMEs to attract investment, allowing their business to grow and increasing their contribution to limiting climate change. CLIMATE SOLUTIONS Connections to other frameworks SDG Goal 13: Climate action Guidance and definitions Low carbon products and products that enable avoided emissions: There is a distinction between products that are low carbon and products that enable avoided emissions. There remains a level of ambiguity over the definition of what constitutes a ‘low carbon product’. While CDP does not want to constrict the definition of low-carbon products, they can be loosely defined as products with low embedded emissions, while products that enable avoided emissions refer to products that enable third parties such as customers to reduce their emissions.",guiding principles purpose principles seven principles below underpin framework’s disclosure recommendations requirements are designed ensure data generated high quality decision useful sme stakeholders including financial institutions disclosures aligned these principles will incentivize climate action smes improve understanding environmental impact these draw principles following key frameworks standards tcfd cdsb ghg protocol disclosures relevant smes data users disclosures clear understandable disclosures objective accurate disclosures complete verifiable disclosures comparable practice corporate disclosures disclosures drive impactful sme climate action disclosures annual provided consistent format section consists key areas disclosure smes it recommended smes report against metrics indicators core component data users stakeholders communicate smes which modules they prioritized depending data user factors unique sme such business type smes look expand reporting cover four additional modules three years modules reporting requirements recommendations core modules each module recommends certain indicators metrics smes are considered important factoring requirements data users smes throughout modules term used indicate requirement indicators denoted using are considered crucial reporting smes regardless disclosers’ reporting experience throughout modules term used indicate recommendation indicators denoted using are considered optional especially small smes those first year reporting reporting these indicators strongly advocated three years how use framework framework lays out key climate related indicators smes report smes use it inform disclosures companies report information mainstream reports when using other data collection reporting platforms framework does not contain detailed guidance how report indicators guidance available suitable smes use sme climate hub dedicated “tools resources” section encourage smes utilize when reporting indicators framework highly recommend reading each module’s “guidance definitions” section understand indicators laid out framework better module energy reporting module value chain emissions module management resilience module climate solutions measure commit action impact every company measure its emissions determine its impact climate starting point only then can company begin manage reduce its negative environmental impact effectively module lays out minimum level disclosure required smes regarding emissions aligned existing standards practices such ghg protocol recognizing emissions calculation can challenging are several tools resources available can help smes get started measuring emissions some them are listed guidance section below measure connections other frameworks tcfd metrics targets recommended disclosure disclose scope scope if appropriate scope greenhouse gas ghg emissions related risks sdg goal climate action measure what are your gross global operational emissions scope companies provide reporting year gross global emissions combustion owned controlled boilers furnaces vehicles scope gross global emissions electricity purchases purchased heat steam cooling reporting year scope calculation methodology companies provide breakdown reported scope scope figures companies ensure are mechanisms place confirm emissions data provided sufficiently accurate provide comment accuracy companies operating areas where market instruments are available both location based market based scope figures provided guidance below more information are any emissions are reporting boundary but are excluded inventory companies disclose any relevant sources emissions excluded provide magnitude significance describe your emissions context appropriate business metric emissions intensity companies disclose gross global combined scope emissions reporting year metric tons co2e per unit physical activity economic output preferably per unit total revenue guidance definitions ghg protocol sets standards measure manage emissions provides calculation tools well corporate standard scope guidance refer if you explanations disclosure requirements above you find some tools suitable specifically smes “tools resources” section sme climate hub specified table above are two methods calculating scope emissions location market based location based method considers average emission factors electricity grids provide electricity reporting organization market based method reflects emissions electricity reporting organizations have chosen purchased market it considers contractual arrangements under which reporting organization procures power specific suppliers sources such renewable energy summarized world resource institute reporting both figures important story about company’s carbon footprint carbon reduction strategy location based method reveals what company physically putting into air market based method emissions company responsible through its purchasing decisions more information refer ghg protocol scope guidance reporting year most recent month period which data provided gross global emissions means total emissions before any deductions other adjustments are made take account things such offset credits avoided emissions use goods services emissions intensity emissions metric tons co2e business metric revenue intensity metrics describe organization’s co2e emissions context another business metric way emissions are normalized account growth emissions intensity per unit revenue one most common easy means calculate emissions intensity which why it preferred you provide figure not necessarily most appropriate individual businesses therefore you can report intensity normalized metric most appropriate your organization’s own operations it essential every company commit reduce environmental impact target setting provides direction structure environmental strategy smes setting targets aligned science demonstrate initiative stakeholders financial institutions details targets help data users understand how robust they are whether they are consistent 5°c future some initiatives allow smes select set pre defined targets aligned science making target setting process simpler smes two key are sbti’s sme initiative sme climate hub’s climate commitment companies are encouraged sign up such initiatives align un race zero campaign aim include metrics highlighted framework when they report targets commit connections other frameworks tcfd metrics targets recommended disclosure c describe targets used organization manage climate related risks opportunities performance against targets sdg goal climate action 9foundations science based net zero target setting corporate sector sbti commit provide details your targets progress made against them all companies climate related target state target type absolute emissions reduction emissions intensity net zero year target was set target year target achieved reporting year whether target aligned recognized target setting standard initiative provide details your targets progress made against them emissions reduction targets companies provide scope s scope categories covered base year covered base year emissions covered base year emissions total base year emissions selected scope s targeted reduction covered base year emissions whether target science based race zero aligned net zero target companies include near term emissions reduction target aligned science what extent net zero target depends neutralization carbon removal activities if organization does not have any climate related targets they state whether they intend set one next two years if setting target was judged unimportant they explain why guidance definitions covered base year emissions base year emissions covered your emissions reduction target if your target relates scope emissions particular business activity office based operations “covered base year emissions” base year scope emissions relating business activity only net zero target line sbti corporate net zero standard corporate net zero defined reducing scope emissions zero residual level consistent reaching net zero emissions global sector level eligible 5°c aligned pathways neutralizing any residual emissions net zero target year any ghg emissions released into atmosphere further guidance setting net zero targets refer sbti corporate net zero standard neutralization emissions neutralization company’s residual ghg emissions emissions are unfeasible reduce equivalent amount carbon removals effective neutralization strategy involves removing carbon atmosphere storing it long enough period fully neutralize impact any ghg continues released into atmosphere adapted foundations science based net zero target setting corporate sector disclosure emissions reduction initiatives demonstrates steps organization taking its climate related targets impact those have reducing company’s emissions module asks companies disclose details initiatives reduce emissions scopes action impact connections other frameworks sdg goal climate action action impact have you do you plan take action reduce your ghg emissions companies state whether they have any implemented planned action s initiative s reduce operational scopes value chain scope emissions providing following details description action initiative type operational efficiency process efficiency low carbon energy consumption initiative start date each action initiative companies disclose estimated annual emissions savings result action taken scope s scope category where emissions saving occurs companies do not have any emissions reduction initiatives explain why how have your emissions changed over time organizations have calculated emissions previous years state how emissions reporting year have changed compared previous years noting reason s change explaining any deviation set target s guidance definitions initiative type initiative types refer initiative start date start date data users whether initiative was implemented reporting year if not then when it planned implemented estimated annual emissions savings where savings occur non annual basis average savings so annual figure can provided energy related activities represent many sectors most significant ghg emission sources module provides transparency consumption generation energy organizations awareness information incentivizes companies make informed energy efficiency measures reduce emissions impact climate change energy connections other frameworks sdg goal affordable clean energy goal climate action energy report your total energy consumption companies disclose total energy consumption purchased self generated disclose your renewable energy purchase generation companies disclose whether they purchase generate renewable energy if so proportion total energy purchase generation makes up companies provide details renewable energy consumption i it self generated green tariff include all energy sources outlined scope guidance ghg protocol guidance definitions renewable energy defined ghg protocol “energy taken sources are inexhaustible wind water solar geothermal energy biofuels ” purchased energy refers energy electricity heat steam cooling organization receives third party i outside organizational boundary specific information these energy carriers electricity steam heat cooling can found section ghg protocol scope guidance value chain emissions disclose your gross global value chain emissions scope companies provide gross global emissions scope categories are relevant business sector activities supply chain related emissions upstream purchased goods services capital goods fuel energy related activities not included operational emissions upstream transportation distribution waste generated operations business travel employee commuting upstream leased assets customer related emissions downstream downstream transportation distribution processing sold products use sold products end life treatment sold products downstream leased assets franchises investments most company’s emissions lie its value chain it important companies beyond direct operations measure influence emissions across value chains goods they purchase disposal products they sell module recommends disclosure value chain emissions determine impact companies’ value chain environment value chain emissions connections other frameworks tcfd metrics targets recommended disclosure disclose scope scope if appropriate scope greenhouse gas ghg emissions related risks sdg goal climate action guidance definitions value chain refers full lifecycle product process including material sourcing production consumption disposal recycling processes defined wbcsd report pages technical guidance calculating scope emissions contain helpful descriptions categories listed above ghg protocol’s scope evaluator free tool smes can use start measuring scope emissions are some tools suitable specifically smes “tools resources” section sme climate hub company successfully transition low carbon commitment drive its leadership required strong evidence companies who integrate climate related decisions initiatives company wide strategy are more likely able take meaningful action climate related targets banks lenders are increasingly requesting information company’s climate risks addition most smes do not have strong risk management processes which makes them vulnerable global risks10 building business resilience climate change identifying managing risks never been more important smes robust risk assessment key climate resilience future management resilience connections other frameworks tcfd strategy recommended disclosure describe climate related risks opportunities organization identified over short medium long term risk management recommended disclosure describe organization’s processes identifying assessing climate related risks risk management recommended disclosure describe organization’s processes managing climate related risks sdg goal climate action 10small medium enterprises global risks evidence manufacturing smes turkey international journal disaster risk science management resilience any member s your organization responsible overseeing climate change matters companies disclose if individual s responsible overseeing climate change action seniority organization if company board they disclose whether board level oversight climate change matters your company aligned net zero future companies state if strategy business model aligns latest most ambitious science i halving emissions reaching net zero latest thereby limiting global warming do you assess your climate risks companies state if they identify assess manage climate risks companies consider providing following details risk management process how frequently they carry out climate risk assessments value chain stages covered direct operations downstream upstream time horizon s covered risk types considered what are your major climate risks how do you manage them companies disclose risk type they have identified transition risks such emerging climate regulation physical risks such flooding time horizon risk short term long term unknown likelihood risk occurring impact risk materializing how risk impact your business how risk being planned managed guidance definitions strategy business model aligned net zero future latest one aligns latest most ambitious climate science recommendations i halving emissions reaching net zero latest thereby limiting global warming 50c climate related risks can divided into two main categories risks related transition low carbon economy transition risks risks related physical impacts climate change physical risks risk types transition risks current emerging regulation policy developments attempt constrain actions contribute adverse effects climate change policy developments seek promote adaptation climate change technology all risks associated technological improvements innovations support transition low carbon energy efficient economic system legal all climate related litigation claims market all shifts supply demand certain commodities products services reputation all risks tied changing customer community perceptions organization’s contribution detraction transition low carbon economy physical risks acute risks are event driven including increased severity extreme weather events such cyclones hurricanes floods chronic longer term shifts climate patterns sustained higher temperatures cause sea level rise chronic heat waves time horizons climate related risks common perception all climate related risks are “long term” arising years transitional risks such policies technology markets are emerging earlier than physical risks including frequency intensity storms floods droughts are recognized risks today thus it important companies consider short medium term risks assessments well climate solutions do you classify any your existing goods services low carbon products products enable third party reduce ghg emissions value chain if yes companies disclose total revenue low carbon products product type description name product s service s methodology taxonomy used classify product s service s low carbon product s service s enable third parties reduce emissions eu taxonomy low carbon investment registry taxonomy companies consider providing some additional information such product category low carbon product low carbon footprint embedded emissions enables avoided emissions reduces customer emissions both low carbon products embedded emissions low carbon products products enable third parties avoid emissions estimated avoided emissions compared reference product smes are force innovation globally play significant role bringing new low carbon emissions reducing products services market disclosure these products services impacts allow smes attract investment allowing business grow increasing contribution limiting climate change climate solutions connections other frameworks sdg goal climate action guidance definitions low carbon products products enable avoided emissions distinction between products are low carbon products enable avoided emissions remains level ambiguity over definition what constitutes ‘low carbon product’ while cdp does not want constrict definition low carbon products they can loosely defined products low embedded emissions while products enable avoided emissions refer products enable third parties such customers reduce emissions,"['low carbon', 'net zero', 'climate related', 'value chain', 'climate action']","['disclosure smes', 'reporting smes', 'report smes', 'sme stakeholders', 'framework disclosure']","disclosure smes, reporting smes, report smes, sme stakeholders, framework disclosure, low carbon, net zero, climate related, value chain, climate action"
Application Guidance For Water-related Disclosures,CDSB,2021-Aug,,,"['water related', 'risks opportunities', 'related risks', 'hotspot areas', 'mainstream report']","['reporting water', 'reporting cdsb', 'disclosure water', 'water reporting', 'sustainability reporting']","reporting water, reporting cdsb, disclosure water, water reporting, sustainability reporting, water related, risks opportunities, related risks, hotspot areas, mainstream report"
Reporting Environmental & Social Information,CDSB,2022-Jan,,,"['environmental social', 'social information', 'policies strategies', 'cdsb framework', 'risks opportunities']","['disclose environmental', 'disclosure environmental', 'disclosures environmental', 'information cdsb', 'standardised disclosure']","disclose environmental, disclosure environmental, disclosures environmental, information cdsb, standardised disclosure, environmental social, social information, policies strategies, cdsb framework, risks opportunities"
